Row,Month,Description,Sales Rep,Qty,Cost,Sale Price,Location,Category
1,Jan 23,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,3,0.8,35,Nunavut,Storage & Organization
2,Jan 23,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,293,0.58,68.02,Nunavut,Appliances
3,Jan 23,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Barry French,293,0.39,2.99,Nunavut,Binders and Binder Accessories
4,Jan 23,R380,Clay Rozendal,483,0.58,3.99,Nunavut,Telephones and Communication
5,Jan 23,Holmes HEPA Air Purifier,Carlos Soltero,515,0.5,5.94,Nunavut,Appliances
6,Jan 23,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,515,0.37,4.95,Nunavut,Office Furnishings
7,Jan 23,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,613,0.38,7.72,Nunavut,Binders and Binder Accessories
8,Jan 23,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,613,,6.22,Nunavut,Storage & Organization
9,Jan 23,"SAFCO Commercial Wire Shelving, Black",Monica Federle,643,,35,Nunavut,Storage & Organization
10,Jan 23,Xerox 198,Dorothy Badders,678,0.38,8.33,Nunavut,Paper
11,Jan 23,Xerox 1980,Neola Schneider,807,0.4,6.18,Nunavut,Paper
12,Jan 23,Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,807,0.53,2,Nunavut,Rubber Bands
13,Jan 23,Holmes HEPA Air Purifier,Carlos Daly,868,0.5,5.94,Nunavut,Appliances
14,Jan 23,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,868,0.71,3.61,Nunavut,Computer Peripherals
15,Jan 23,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Claudia Miner,933,0.37,2.99,Nunavut,Binders and Binder Accessories
16,Jan 23,Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,995,0.53,3.04,Nunavut,Office Furnishings
